,accepted_name_w_author,example_compound_name,Standard_SMILES,MAIP_SMILES,SMILES,InChIKey,CAS ID,Source,accepted_ipni_id,accepted_name,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,InChIKey_simp,Genus
10,Catalpa bignonioides Walter,6-Hydroxyluteolin 7-glucoside,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c(O)c12,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c(O)c12,OC[C@H]1O[C@@H](Oc2cc3OC(=CC(=O)c3c(O)c2O)c4ccc(O)c(O)c4)[C@H](O)[C@@H](O)[C@@H]1O,HYPKUHLLPBGDLF-IAAKTDFRSA-N,54300-65-1,KNApSAcK,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,HYPKUHLLPBGDLF,Catalpa
11,Catalpa bignonioides Walter,Amphicoside,COc1cc(C(=O)OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C3(CO)OC23)ccc1O,COc1cc(C(=O)OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C3(CO)OC23)ccc1O,O=C(OC1C2OC2(CO)C3C(OC=CC13)OC4OC(CO)C(O)C(O)C4O)C5=CC=C(O)C(OC)=C5,AKNILCMFRRDTEY-UTPSRAKLSA-N,34779-62-9,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,AKNILCMFRRDTEY,Catalpa
12,Catalpa bignonioides Walter,D-fructopyranose,OCC1(O)OCC(O)C(O)C1O,OCC1(O)OCC(O)C(O)C1O,C1C(C(C(C(O1)(CO)O)O)O)O,LKDRXBCSQODPBY-VRPWFDPXSA-N,6347-01-9,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,LKDRXBCSQODPBY,Catalpa
13,Catalpa bignonioides Walter,D-glucopyranose,OCC1OC(O)C(O)C(O)C1O,OCC1OC(O)C(O)C(O)C1O,C(C1C(C(C(C(O1)O)O)O)O)O,WQZGKKKJIJFFOK-GASJEMHNSA-N,54-17-1,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,WQZGKKKJIJFFOK,Catalpa
14,Catalpa bignonioides Walter,Ladanein,COc1ccc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)cc1,COc1ccc(cc1)C2=CC(=O)c3c(O)c(O)c(OC)cc3O2,UUQJTIHOVGMQIH-UHFFFAOYSA-N,10176-71-3,KNApSAcK,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,UUQJTIHOVGMQIH,Catalpa
15,Catalpa bignonioides Walter,Veronicoside,O=C(OC1C2C=COC(OC3OC(CO)C(O)C(O)C3O)C2C2(CO)OC12)c1ccccc1,O=C(OC1C2C=COC(OC3OC(CO)C(O)C(O)C3O)C2C2(CO)OC12)c1ccccc1,O=C(OC1C2OC2(CO)C3C(OC=CC13)OC4OC(CO)C(O)C(O)C4O)C=5C=CC=CC5,GOHHRVCULPSXEU-RWORTQBESA-N,,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,GOHHRVCULPSXEU,Catalpa
16,Catalpa bignonioides Walter,"[(1S,2S,4S,5S,6R,10S)-2-(Hydroxymethyl)-10-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,9-dioxatricyclo[4.4.0.02,4]dec-7-en-5-yl] 3,4-dimethoxybenzoate",COc1ccc(C(=O)OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C3(CO)OC23)cc1OC,COc1ccc(C(=O)OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C3(CO)OC23)cc1OC,O=C(OC1C2OC2(CO)C3C(OC=CC13)OC4OC(CO)C(O)C(O)C4O)C5=CC=C(OC)C(OC)=C5,JPLOCWOFCUFHBG-PIAIVMLOSA-N,56973-43-4,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,JPLOCWOFCUFHBG,Catalpa
17,Catalpa bignonioides Walter,"[(1S,4aR,5R,7S,7aS)-7-hydroxy-7-(hydroxymethyl)-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-5-yl] 4-hydroxybenzoate",O=C(OC1CC(O)(CO)C2C(OC3OC(CO)C(O)C(O)C3O)OC=CC12)c1ccc(O)cc1,O=C(OC1CC(O)(CO)C2C(OC3OC(CO)C(O)C(O)C3O)OC=CC12)c1ccc(O)cc1,O=C(OC1CC(O)(CO)C2C(OC=CC12)OC3OC(CO)C(O)C(O)C3O)C4=CC=C(O)C=C4,OTIAAGNDDJEMIJ-UKLNBOJVSA-N,,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,OTIAAGNDDJEMIJ,Catalpa
18,Catalpa bignonioides Walter,aldehydo-D-glucose,O=CC(O)C(O)C(O)C(O)CO,O=CC(O)C(O)C(O)C(O)CO,C(C(C(C(C(C=O)O)O)O)O)O,GZCGUPFRVQAUEE-SLPGGIOYSA-N,50-99-7,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,GZCGUPFRVQAUEE,Catalpa
19,Catalpa bignonioides Walter,catalpol,OCC1OC(OC2OC=CC3C(O)C4OC4(CO)C23)C(O)C(O)C1O,OCC1OC(OC2OC=CC3C(O)C4OC4(CO)C23)C(O)C(O)C1O,C1=COC(C2C1C(C3C2(O3)CO)O)OC4C(C(C(C(O4)CO)O)O)O,LHDWRKICQLTVDL-PZYDOOQISA-N,2415-24-9,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,LHDWRKICQLTVDL,Catalpa
20,Catalpa bignonioides Walter,keto-D-fructose,O=C(CO)C(O)C(O)C(O)CO,O=C(CO)C(O)C(O)C(O)CO,C(C(C(C(C(=O)CO)O)O)O)O,BJHIKXHVCXFQLS-UYFOZJQFSA-N,57-48-7,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,BJHIKXHVCXFQLS,Catalpa
21,Catalpa bignonioides Walter,minecoside,COc1ccc(C=CC(=O)OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C3(CO)OC23)cc1O,COc1ccc(C=CC(=O)OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C3(CO)OC23)cc1O,COC1=C(C=C(C=C1)C=CC(=O)OC2C3C=COC(C3C4(C2O4)CO)OC5C(C(C(C(O5)CO)O)O)O)O,LRHHPZILMPIMIY-GGKKSNITSA-N,,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,LRHHPZILMPIMIY,Catalpa
22,Catalpa bignonioides Walter,raffinose,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,512-69-6,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,MUPFEKGTMRGPLJ,Catalpa
23,Catalpa bignonioides Walter,sesamolin,c1cc2c(cc1OC1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,c1cc2c(cc1OC1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,C1C2C(COC2OC3=CC4=C(C=C3)OCO4)C(O1)C5=CC6=C(C=C5)OCO6,ZZMNWJVJUKMZJY-AFHBHXEDSA-N,526-07-8,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,ZZMNWJVJUKMZJY,Catalpa
24,Catalpa bignonioides Walter,sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,CZMRCDWAGMRECN-UGDNZRGBSA-N,57-50-1,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,CZMRCDWAGMRECN,Catalpa
25,Catalpa bignonioides Walter,trans-caffeic acid,O=C(O)C=Cc1ccc(O)c(O)c1,O=C(O)C=Cc1ccc(O)c(O)c1,C1=CC(=C(C=C1C=CC(=O)O)O)O,QAIPRVGONGVQAS-DUXPYHPUSA-N,331-39-5,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,QAIPRVGONGVQAS,Catalpa
